,Names,Gender,Hair_Color,Tags,Anime,Manga
23,Zoro RORONOA,Male,Green Hair,"['Bandana', 'Dual Wielder', 'Muscular', 'No Sense of Direction', 'Piercings', 'Pirate', 'Sailor', 'Scar', 'Sleepyhead', 'Sword Fighter']","['ARASHI: A-RA-SHI : Reborn', 'Fanta x One Piece', 'Hungry Days x Bump of Chicken: Kinen Satsuei', 'Hungry Days x One Piece', 'Look Plus x One Piece CM', 'Nissan Serena x One Piece 3D: Mugiwara Chase', 'One Piece', ""One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!"", 'One Piece 3D: Gekisou! Trap Coaster', 'One Piece 3D: Mugiwara Chase', 'One Piece: Adventure of Nebulandia', 'One Piece: Annecy Festival 60th Anniversary', 'One Piece: Defeat the Pirate Ganzak!', ""One Piece: Django's Dance Carnival"", 'One Piece: Dream Soccer King!', 'One Piece: Episode of East Blue', 'One Piece: Episode of Luffy - Hand Island no Bouken', 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari', 'One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna', 'One Piece: Episode of Sabo', 'One Piece: Episode of Skypiea', 'One Piece Film: Gold', 'One Piece Film: Gold ~Episode 0~ 711 ver.', 'One Piece Film: Red', 'One Piece Film: Z', 'One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou', 'One Piece Movie 1', 'One Piece Movie 10: Strong World', 'One Piece Movie 14: Stampede', 'One Piece Movie 2: Clockwork Island Adventure', 'One Piece Movie 3: Chopper Kingdom of Strange Animal Island', 'One Piece Movie 4: Dead End Adventure', 'One Piece Movie 5: The Curse of the Sacred Sword', 'One Piece Movie 6: Baron Omatsuri and the Secret Island', ""One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier"", 'One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta', 'One Piece Movie 9: Episode of Chopper - The Miracle Winter Cherry Blossom', 'One Piece Recap', 'One Piece: Romance Dawn Story', ""One Piece Special 1: Adventure in the Ocean's Navel"", ""One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!"", 'One Piece Special 3: Protect! The Last Great Stage', 'One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy', ""One Piece Special Episode: Barto's Secret Room"", 'One Piece Special: Glorious Island', 'One Piece Special: Heart of Gold', 'One Piece: Straw Hat Theater', 'One Piece: Strong World - Episode 0', 'One Piece: Take Aim! The Pirate Baseball King', 'One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue', 'Tokyo One Piece Tower: Tongari Shima no Dai Hihou', 'Toriko x One Piece Collabo Special', 'Toriko x One Piece Collabo Special 2']","['Cross Epoch', 'Food Wars! Shokugeki no Sanji', 'One Piece', 'One Piece Gakuen', 'One Piece: Loguetown-hen (Light Novel)', 'One Piece Party', 'One Piece: Roronoa Zoro Falls Into the Sea', 'One Piece: Taose! Kaizoku Ganzack (Light Novel)', 'One Piece x Toriko: Jisshoku! Akuma no Mi!!']"
24,Eren JAEGER,Male,Brown Hair,"['Hot-Headed', 'Military', 'Sword Fighter', 'Vengeful']","['Ai Higuchi: Akuma no Ko', 'Attack on Skytree', 'Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season', 'Attack on Titan 3rd Season: Part II', 'Attack on Titan 3rd Season: Part II Specials', 'Attack on Titan: Attack on Celebrity', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan Picture Drama', 'Attack on Titan: Since That Day', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II', 'Attack on Titan The Final Season: Part III', 'Attack on Titan The Final Season PV', 'SiM: The Rumbling']","['Attack on Titan', 'Attack on Titan: End of the World (Light Novel)', 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan: Lost Girls (Light Novel)', 'Eren no Housoku', 'Guren no Chousa Heidan', 'Guren no Jaeger', 'Spoof on Titan', 'Ultimate Yeager']"
25,Death The Kid,Male,Multicolored Hair,"['Agent of the Afterlife', 'Bossy', 'Dual Wielder', 'Gunslinger', 'Shinigami', 'Teenager']","['Soul Eater', 'Soul Eater Not!']","['Soul Eater', 'Soul Eater Not!']"
26,Ichigo KUROSAKI,Male,Orange Hair,"['Agent of the Afterlife', 'High School Student', 'Oversized Weapon', 'Shinigami', 'Sword Fighter', 'Teenager']","['Bleach', 'Bleach: Jump Festa 2008 Special', 'Bleach: Memories in the Rain', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach Movie 4: Hell Verse', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach 4-koma: Komaburi', 'Bleach: Jigoku Hen Special - The Unforgivens', 'Bleach: Letters From the Other Side (Light Novel)', 'Bleach (Pilot)', 'Bleach: The Honey Dish Rhapsody (Light Novel)', 'Gekijouban Bleach: Memories of Nobody (Light Novel)']"
27,Rin OKUMURA,Male,Black Hair,"['Cook', 'Demon', 'Demon Hunter', 'Elemental Powers', 'Exorcist', 'Fire Powers', 'Half-Breed', 'High School Student', 'Hot-Headed', 'Orphan', 'Pointy Ears', 'Sword Fighter', 'Tail', 'Teenager', 'Twin']","['Blue Exorcist', ""Blue Exorcist: Kuro's Trip Away From Home"", 'Blue Exorcist: Kyoto Saga', 'Blue Exorcist Movie', 'Blue Exorcist OVA', 'Blue Exorcist Specials']","['Blue Exorcist', 'Blue Exorcist (Light Novel)', 'Salaryman Futsumashi Okumura Yukio no Aishuu']"
28,Gray FULLBUSTER,Male,Black Hair,"['Elemental Powers', 'Frequently-Naked', 'Hot-Headed', 'Ice Powers', 'Magic User']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Girls', 'Fairy Tail', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail Gaiden', 'Fairy Tail: Ice Trail', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', ""Mashima Hero's""]"
29,Taiga AISAKA,Female,Brown Hair,"['High School Student', 'Hot-Headed', 'Teenager', 'Tsundere']","['Eromanga Sensei', 'Okami-san & Her Seven Companions', 'Toradora!', 'Toradora SOS! Hurray for Gourmands', 'Toradora! The True Meaning of Bento']","['Toradora!', 'Toradora! (Light Novel)', 'Toradora Spin-off! (Light Novel)']"
30,Sasuke UCHIHA,Male,Black Hair,"['Elemental Powers', 'Exotic Eyes', 'Fire Powers', 'Lightning Powers', 'Ninja', 'Orphan', 'Teleportation Powers', 'Vengeful']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto Movie 1: Ninja Clash in the Land of Snow', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Shippuden: Sunny Side Battle!', 'Naruto Special 1: Find the Crimson Four-leaf Clover!', 'Naruto Special 2: Battle at Hidden Falls. I am the Hero!', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'Naruto: The Cross Roads', 'The Last: Naruto the Movie']","['Boruto', 'Boruto: Naruto the Movie (Light Novel)', 'Boruto: Road to ""B""', 'Naruto', 'Naruto: Chibi Sasuke’s Sharingan Legend', 'Naruto: Innocent Heart, Demonic Blood (Light Novel)', 'Naruto Jinraiden: Okami no Naku Hi (Light Novel)', ""Naruto's Story: Family Day (Light Novel)"", 'Naruto: The Seventh Hokage and the Scarlet Spring', 'Naruto True Story (Light Novel)', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth"", ""Sasuke's Story: The Uchiha and the Heavenly Stardust (Light Novel)""]"
31,Kanade TACHIBANA,Female,White Hair,"['Arm Blades', 'Kuudere', 'Stoic', 'Student Council']","['Angel Beats!', ""Angel Beats! Hell's Kitchen"", 'Angel Beats! Stairway to Heaven', 'Kaginado Season 2']","[""Angel Beats! Heaven's Door"", 'Angel Beats! The 4-koma: Bokura no Sensen Koushinkyoku', 'Angel Beats! The 4-koma: Osora no Shinda Sekai kara', 'Angel Beats! Track Zero (Light Novel)']"
32,C.C.,Female,Green Hair,"['Big Eater', 'Immortal', 'Mecha Pilot', 'Terrorist']","['Code Geass: Akito the Exiled', 'Code Geass: Lelouch of the Rebellion', 'Code Geass: Lelouch of the Rebellion III - Glorification', 'Code Geass: Lelouch of the Rebellion I - Initiation', 'Code Geass: Lelouch of the Rebellion II - Transgression', 'Code Geass: Lelouch of the Rebellion - Kiseki no Birthday Picture Drama', 'Code Geass: Lelouch of the Rebellion R2', 'Code Geass: Lelouch of the Rebellion R2 Flash Specials', 'Code Geass: Lelouch of the Rebellion R2 Picture Drama', 'Code Geass: Lelouch of the Rebellion R2 Picture Drama - Last Moratorium', 'Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem', 'Code Geass: Lelouch of the Rebellion Recaps', 'Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion', 'Code Geass Movie: Lelouch of the Re;surrection', 'Code Geass: Nunnally in Wonderland']","['Barcode Geass: Hanbai no Lelouch', 'Code Geass: Lelouch of the Rebellion', 'Code Geass: Lelouch of the Rebellion (Light Novel)', 'Code Geass: Lelouch of the Rebellion - Queen: Official Comic Anthology - For Boys', 'Code Geass: Nightmare of Nunnally', 'Code Geass: Shikkoku no Renya', 'Code Geass: Suzaku of the Counterattack', 'Code Geass: Tales of an Alternate Shogunate']"
33,Takumi USUI,Male,Blonde Hair,"['Charismatic', 'Cook', 'High School Student', 'Martial Artist', 'Mischievous', 'Musician', 'Part Time Employee', 'Stoic', 'Teenager', 'Violinist', 'Wealthy']","['Maid-sama!', 'Maid-sama! LaLa Special', 'Maid-sama!: Omake dayo!']","['Kaichou wa Maid-sama! Marriage', 'Maid-sama!']"
34,Hikaru HITACHIIN,Male,Orange Hair,"['High School Student', 'Host', 'Mischievous', 'Teenager', 'Twin', 'Wealthy']",['Ouran High School Host Club'],"['Ouran High School Host Club', 'Ouran High School Host Club Short Special', 'Ouran High School Host Club University Special']"
35,Maes HUGHES,Male,Black Hair,"['Adult', 'Facial Hair', 'Glasses', 'Knife Fighter', 'Military']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa']","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
36,Shoto TODOROKI,Male,Multicolored Hair,"['Analytical', 'Elemental Powers', 'Fire Powers', 'Heterochromia', 'High School Student', 'Ice Powers', 'Kuudere', 'Scar', 'Stoic', 'Superpowers', 'Teenager']","['My Hero Academia', 'My Hero Academia 2', 'My Hero Academia 3', 'My Hero Academia 4', 'My Hero Academia 5', 'My Hero Academia 6', 'My Hero Academia: Jump Festa 2016 Special', 'My Hero Academia: Make It! Do-or-Die Survival Training', 'My Hero Academia Movie 2: Heroes:Rising', ""My Hero Academia Movie 3: World Heroes' Mission"", 'My Hero Academia Movie: Two Heroes', 'My Hero Academia Movie: Two Heroes Picture Drama', 'My Hero Academia: Tabidachi', 'My Hero Academia: Training of the Dead', 'My Hero Academia (Web)', 'Peace Sign']","['My Hero Academia', ""My Hero Academia Special Spin-Off: Endeavor's Mission""]"
37,Kisuke URAHARA,Male,Blonde Hair,"['Agent of the Afterlife', 'Hat', 'Inventor', 'Merchant', 'Scientist', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach: Letters From the Other Side (Light Novel)', 'Bleach: The Death Save the Strawberry (Light Novel)']"
38,Lucy,Female,Pink Hair,"['Blinding Bangs', 'Frequently-Naked', 'Horns', 'Ruthless', 'Split Personality', 'Teenager']","['Elfen Lied', 'Elfen Lied: In the Passing Rain']","['Elfen Lied', 'Elfen Lied (Pilot)']"
39,Haruhi FUJIOKA,Female,Brown Hair,"['Analytical', 'Crossdresser', 'High School Student', 'Host', 'Teenager']",['Ouran High School Host Club'],"['Ouran High School Host Club', 'Ouran High School Host Club Short Special', 'Ouran High School Host Club University Special']"
40,Tamaki SUOH,Male,Blonde Hair,"['Club President', 'Flirt', 'Foreigner', 'High School Student', 'Host', 'Musician', 'Pianist', 'Teenager', 'Wealthy']",['Ouran High School Host Club'],"['Ouran High School Host Club', 'Ouran High School Host Club Short Special', 'Ouran High School Host Club University Special']"
41,Happy,Male,Multicolored Hair,"['Animal', 'Anthropomorphic', 'Big Eater', 'Cat', 'Magic User', 'Wings']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 1: Phoenix Priestess - The First Morning', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Tail', 'Fairy Tail+', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail (Light Novel)', 'Fairy Tail S: Tales from Fairy Tail', 'Fairy Tail the Movie: Priestess of The Phoenix - The Sunrise', 'Fairy Tail x The Seven Deadly Sins Christmas Special', 'Magazine Ohanami!!', ""Mashima Hero's""]"
42,Ken KANEKI,Male,,"['Bookworm', 'Exotic Eyes', 'Eye Patch', 'Monster', 'Orphan', 'Teenager']","['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re', 'Tokyo Ghoul:re 2nd Season']","['Tokyo Ghoul', 'Tokyo Ghoul (Light Novel)', 'Tokyo Ghoul (Pilot)', 'Tokyo Ghoul:re']"
43,Kaoru HITACHIIN,Male,Orange Hair,"['High School Student', 'Host', 'Mischievous', 'Teenager', 'Twin', 'Wealthy']",['Ouran High School Host Club'],"['Ouran High School Host Club', 'Ouran High School Host Club Short Special', 'Ouran High School Host Club University Special']"
44,Izuku MIDORIYA,Male,Green Hair,"['Analytical', 'Crybaby', 'Freckles', 'High School Student', 'Superpowers', 'Teenager']","['My Hero Academia', 'My Hero Academia 2', 'My Hero Academia 3', 'My Hero Academia 4', 'My Hero Academia 5', 'My Hero Academia 6', 'My Hero Academia: Hero Notebook', 'My Hero Academia: Jump Festa 2016 Special', 'My Hero Academia: Make It! Do-or-Die Survival Training', 'My Hero Academia Movie 2: Heroes:Rising', 'My Hero Academia Movie 2: Heroes:Rising - Picture Drama', ""My Hero Academia Movie 3: World Heroes' Mission"", 'My Hero Academia Movie: Two Heroes', 'My Hero Academia Movie: Two Heroes Picture Drama', 'My Hero Academia: Tabidachi', 'My Hero Academia: Training of the Dead', 'My Hero Academia (Web)', 'Peace Sign']","['Deku and Bakugo Rising', 'My Hero Academia', 'My Hero Academia: Kitto Daremo ga Dareka no Hero', 'My Hero Academia Movie 2: Heroes:Rising (Light Novel)', 'My Hero Academia Movie: Two Heroes (Light Novel)', ""My Hero Academia Special Spin-Off: Endeavor's Mission"", 'My Hero Academia: Team Up Missions']"
45,Armin ARLELT,Male,Blonde Hair,"['Analytical', 'Military', 'Orphan', 'Sword Fighter']","['Ai Higuchi: Akuma no Ko', 'Attack on Skytree', 'Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season', 'Attack on Titan 3rd Season: Part II', 'Attack on Titan 3rd Season: Part II Specials', 'Attack on Titan: Attack on Celebrity', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan Picture Drama', 'Attack on Titan: Since That Day', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II', 'Attack on Titan The Final Season: Part III', 'SiM: The Rumbling']","['Attack on Titan', 'Attack on Titan: End of the World (Light Novel)', 'Attack on Titan: Junior High', 'Spoof on Titan']"
46,Yato,Male,Purple Hair,"['Bandana', 'Deity', 'Exorcist', 'Immortal', 'Mercenary', 'Sword Fighter']","['Noragami', 'Noragami Aragoto', 'Noragami Aragoto OVA', 'Noragami: Noraneko', 'Noragami OVA', 'Tia: Heart Realize', 'Tia: Nirvana']","['Noragami: Awase Kagami', 'Noragami: Stray God', 'Noragami: Stray Stories']"
47,Lucy HEARTFILIA,Female,Blonde Hair,"['Magic User', 'Summoners', 'Writer']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 1: Phoenix Priestess - The First Morning', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Girls', 'Fairy Tail', 'Fairy Tail+', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail (Light Novel)', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', 'Fairy Tail the Movie: Priestess of The Phoenix - The Sunrise', 'Fairy Tail x The Seven Deadly Sins Christmas Special', 'Magazine Ohanami!!', ""Mashima Hero's""]"
48,Ciel PHANTOMHIVE,Male,Black Hair,"['Company President', 'Exotic Eyes', 'Eye Patch', 'Nobility', 'Orphan', 'Piercings', 'Teenager', 'Vengeful', 'Wealthy']","['Black Butler', 'Black Butler 2', 'Black Butler 2 Specials', 'Black Butler: Book of Circus', 'Black Butler: Book of Murder', 'Black Butler: Book of the Atlantic', 'Black Butler: His Butler, Performer', 'Black Butler Recap']","['Black Butler', 'Black Butler Anthology Comic']"
49,Soul EVANS,Male,White Hair,"['Headband', 'Musician', 'Pianist', 'Shapeshifter', 'Sharp Teeth', 'Teenager']","['Soul Eater', 'Soul Eater Not!']","['Soul Eater', 'Soul Eater Not!']"
50,Saitama,Male,,"['Adult', 'Bald', 'Cape', 'Gloves', 'Superpowers']","['Go! Saitama', 'One-Punch Man', 'One-Punch Man 2', 'One-Punch Man 2 Specials', 'One-Punch Man 3', 'One-Punch Man Recap', 'One-Punch Man: Road to Hero', 'One-Punch Man Specials']","['One-Punch Man', 'One-Punch Man (Webcomic)']"
51,Alucard,Male,Black Hair,"['Bloodthirsty', 'Darkness Powers', 'Elemental Powers', 'Gloves', 'Gunslinger', 'Hat', 'Immortal', 'Prehensile Hair', 'Sadistic', 'Sunglasses', 'Teleportation Powers', 'Vampire', 'Vampire Hunter']","['Hellsing', 'Hellsing: Psalm of Darkness', 'Hellsing: The Dawn', 'Hellsing Ultimate', 'Hellsing Ultimate: Digest for Freaks']","['Hellsing', 'Hellsing: The Dawn']"
52,Winry ROCKBELL,Female,Blonde Hair,"['Hot-Headed', 'Mechanic', 'Orphan', 'Piercings', 'Ponytail', 'Teenager']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa', 'Fullmetal Alchemist: The Sacred Star of Milos', 'Fullmetal Alchemist: The Sacred Star of Milos Specials']","['Fullmetal Alchemist', 'Fullmetal Alchemist Gaiden', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
53,Riza HAWKEYE,Female,Blonde Hair,"['Adult', 'Gunslinger', 'Hair Buns', 'Military', 'Sniper']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa', 'Fullmetal Alchemist: The Sacred Star of Milos']","['Fullmetal Alchemist', 'Fullmetal Alchemist (Light Novel)', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
54,Kenpachi ZARAKI,Male,Black Hair,"['Agent of the Afterlife', 'Anti-Gravity Hair', 'Bloodthirsty', 'Eye Patch', 'Muscular', 'No Eyebrows', 'No Sense of Direction', 'Scar', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach 4-koma: Komaburi', 'Bleach: Spirits Are Forever with You (Light Novel)']"
55,Hange ZOE,Brown Hair,,"['Adult', 'Glasses', 'Goggles', 'Hyperactive', 'Military', 'Ponytail', 'Scientist', 'Sword Fighter']","['Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season', 'Attack on Titan 3rd Season: Part II', 'Attack on Titan 3rd Season: Part II Specials', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan: No Regrets', 'Attack on Titan Picture Drama', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II', 'Attack on Titan The Final Season: Part III']","['Attack on Titan', 'Attack on Titan: Junior High', 'Attack on Titan: No Regrets', 'Spoof on Titan']"
56,Ash's Pikachu,Male,Multicolored Hair,"['Bossy', 'Elemental Powers', 'Lightning Powers', 'Mischievous', 'Pokemon', 'Rosy Cheeks', 'Tail']","['Arceus, the One Called God', 'A Ripple in Time', 'Planetarium Pokémon: Aurora kara no Message', 'Pokemon', 'Pokemon 3D Adventure: Find Mew!', 'Pokemon 4D: Pikachu`s Ocean Adventure', 'Pokemon Advanced', 'Pokemon: Black & White', 'Pokemon: Black & White: Adventures in Unova', 'Pokemon: Black & White: Adventures in Unova and Beyond', 'Pokemon Black & White: Dekorora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!', 'Pokemon: Black & White - Rival Destinies', 'Pokemon: Camp Pikachu', 'Pokemon Chronicles', 'Pokemon: Diamond & Pearl', 'Pokemon: Eevee and Friends', 'Pokemon: Fall Special', 'Pokemon: Gotta Dance!', 'Pokemon Journeys', 'Pokemon Masters: Trainers Great Gathering Special Animation', ""Pokemon: Meloetta's Moonlight Serenade"", 'Pokemon: Mewtwo - Prologue to Awakening', 'Pokemon: Mewtwo Returns', 'Pokemon Movie 10: The Rise of Darkrai', 'Pokemon Movie 11: Giratina and the Sky Warrior', 'Pokemon Movie 12: Arceus and the Jewel of Life', 'Pokemon Movie 13: Zoroark - Master of Illusions', 'Pokemon Movie 14: Black - Victini and Reshiram', 'Pokemon Movie 14: White - Victini and Zekrom', 'Pokemon Movie 15: Kyurem vs. The Sword of Justice', 'Pokemon Movie 16: Genesect and the Legend Awakened', 'Pokemon Movie 17: Diancie and the Cocoon of Destruction', 'Pokemon Movie 18: Hoopa and the Clash of Ages', 'Pokemon Movie 19: Volcanion and the Mechanical Marvel', 'Pokemon Movie 1: The First Movie', 'Pokemon Movie 20: I Choose You!', 'Pokemon Movie 21: The Power of Us', 'Pokemon Movie 22: Mewtwo Strikes Back Evolution', 'Pokemon Movie 23: Secrets of the Jungle', 'Pokemon Movie 2: The Power of One', 'Pokemon Movie 3: Spell of the Unown', 'Pokemon Movie 4: Pokemon 4Ever', 'Pokemon Movie 5: Heroes - Latias and Latios', 'Pokemon Movie 6: Jirachi Wish Maker', 'Pokemon Movie 7: Destiny Deoxys', 'Pokemon Movie 8: Lucario and The Mystery of Mew', 'Pokemon Movie 9: Pokemon Ranger and the Temple of the Sea', 'Pokemon: Pikachu and Pichu', 'Pokemon: Pikachu and the Pokemon Music Squad', ""Pokemon: Pikachu's Big Mysterious Adventure"", ""Pokemon: Pikachu's Ghost Carnival"", ""Pokemon: Pikachu's Great Ice Adventure"", ""Pokemon: Pikachu's Great Sparking Search"", ""Pokemon: Pikachu's Island Adventure"", ""Pokemon: Pikachu's Pikaboo"", ""Pokemon: Pikachu's Rescue Adventure"", ""Pokemon: Pikachu's Summer Bridge Story"", ""Pokemon: Pikachu's Summer Festival"", ""Pokemon: Pikachu's Summer Vacation"", ""Pokemon: Pikachu's Winter Vacation"", ""Pokemon: Pikachu's Winter Vacation 2000"", ""Pokemon: Pikachu's Winter Vacation 2001"", 'Pokemon: Pikachu Tanken Club', ""Pokemon: Pikachu, What's This Key?"", 'Pokemon Sun & Moon', 'Pokemon Sun & Moon Planetarium', 'Pokemon: The Mastermind of Mirage Pokemon', 'Pokemon: Utae Meloetta - Rinka no Mi wo Sagase!', 'Pokemon XY', 'Pokemon XY: Hoopa no Odemashi Daisakusen!!', ""Pokemon XY: New Year's Eve 2014 Super Mega Special"", 'Pokemon XY: New Year Special', 'Pokemon XY: Pikachu the Movie', 'Pokemon XY: Sora no Hahen', 'Pokemon XY Special: Road to Kalos', 'Pokemon XY&Z', 'Pokemon XY&Z: Subete no Nazo wo Tokiakase!', 'Toho Cinemas x Pokemon Go', 'TV-ban Pokemon Special Masara Town-hen Recaps']","['Pocket Monsters', 'Pocket Monsters: DP-hen', 'Pocket Monsters: RS-hen', 'Pokemon: Giratina & the Sky Warrior!', 'Pokemon: Mewtwo Strikes Back - Evolution', 'Pokemon Ranger and the Temple of the Sea', 'Pokemon: The Electric Tale of Pikachu', 'Pokemon the Movie: White - Victini and Zekrom', 'Pokemon: The Rise of Darkrai', 'Pokémon: Zoroark - Master of Illusions', 'Satoshi to Pikachuu']"
